Concepts,use,computer,students,equipment,Oncourse,need,problem,time,available,classrooms,desk,home,lab,semester,staff,open,people,difficult,needs,work,University,computers,slow,classes,service,helpful,faculty,training,campus,class,services,teaching,assistance,information
computers,3.4038463,3.0170455,0.0,0.0,0.0,0.0,0.0,3.1607144,0.0,4.9166665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.125,0.0,0.0,0.0,0.0,3.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slow,0.0,0.0,0.0,3.2777777,0.0,0.0,0.0,0.0,4.3703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3703704,0.0,0.0,0.0,0.0,0.0,19.666666,0.0,3.2777777,0.0,0.0,3.9333334,0.0,0.0,0.0,0.0,0.0,0.0
classes,3.4038463,4.0227275,0.0,0.0,0.0,0.0,0.0,4.214286,3.2777777,0.0,0.0,3.2777777,0.0,0.0,0.0,7.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0,3.2777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1607144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2777777,0.0,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
helpful,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3703704,0.0,0.0,0.0,0.0,0.0,0.0,3.2777777,0.0,19.666666,0.0,0.0,0.0,0.0,0.0,0.0,3.9333334,0.0
faculty,3.4038463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2777777,3.2777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6875,0.0,0.0,0.0,0.0,29.5,5.9,0.0,0.0,3.6875,0.0,5.9,0.0
training,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9333334,3.9333334,0.0,0.0,0.0,0.0,0.0,0.0,3.9333334,4.425,0.0,0.0,0.0,0.0,3.9333334,0.0,0.0,0.0,5.9,35.4,0.0,0.0,4.425,5.9,0.0,0.0
campus,0.0,0.0,0.0,0.0,0.0,0.0,3.6122448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1607144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.285715,0.0,0.0,0.0,5.0571427,4.214286
class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.666666,0.0,0.0,0.0,0.0
services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.375,0.0,0.0,0.0,0.0,0.0,3.1607144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6875,4.425,0.0,0.0,22.125,0.0,0.0,0.0
teaching,0.0,0.0,0.0,4.9166665,0.0,0.0,0.0,0.0,3.2777777,3.2777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6875,7.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,29.5,0.0,0.0
assistance,0.0,0.0,3.2181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4363637,0.0,0.0,3.54,0.0,0.0,3.9333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9333334,5.9,0.0,5.0571427,0.0,0.0,0.0,35.4,0.0
information,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2777777,0.0,0.0,0.0,0.0,0.0,3.6875,0.0,0.0,3.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.214286,0.0,0.0,0.0,0.0,29.5
